PCS.vBatAverage;CDH.OBT
33.02038;2015-05-31 09:06:44+00:00
33.02038;2015-05-31 09:06:52+00:00
33.02038;2015-05-31 09:07:00+00:00
33.03912;2015-05-31 09:07:08+00:00
33.03912;2015-05-31 09:07:16+00:00
33.03912;2015-05-31 09:07:24+00:00
33.02038;2015-05-31 09:07:32+00:00
33.03912;2015-05-31 09:07:40+00:00
33.02038;2015-05-31 09:07:48+00:00
33.03912;2015-05-31 09:07:56+00:00
33.03912;2015-05-31 09:08:04+00:00
33.03912;2015-05-31 09:08:12+00:00
33.03912;2015-05-31 09:08:20+00:00
33.03912;2015-05-31 09:08:28+00:00
33.03912;2015-05-31 09:08:36+00:00
33.03912;2015-05-31 09:08:44+00:00
33.03912;2015-05-31 09:08:52+00:00
33.03912;2015-05-31 09:09:00+00:00
33.03912;2015-05-31 09:09:08+00:00
33.03912;2015-05-31 09:09:16+00:00
33.03912;2015-05-31 09:09:24+00:00
33.03912;2015-05-31 09:09:32+00:00
33.03912;2015-05-31 09:09:40+00:00
33.03912;2015-05-31 09:09:48+00:00
33.03912;2015-05-31 09:09:56+00:00
33.03912;2015-05-31 09:10:04+00:00
33.03912;2015-05-31 09:10:12+00:00
33.03912;2015-05-31 09:10:20+00:00
33.03912;2015-05-31 09:10:28+00:00
33.02038;2015-05-31 09:10:36+00:00
33.03912;2015-05-31 09:10:44+00:00
33.03912;2015-05-31 09:10:52+00:00
33.02038;2015-05-31 09:11:00+00:00
33.02038;2015-05-31 09:11:08+00:00
33.02038;2015-05-31 09:11:16+00:00
33.02038;2015-05-31 09:11:24+00:00
33.02038;2015-05-31 09:11:32+00:00
33.02038;2015-05-31 09:11:40+00:00
33.02038;2015-05-31 09:11:48+00:00
33.02038;2015-05-31 09:11:56+00:00
33.02038;2015-05-31 09:12:04+00:00
33.02038;2015-05-31 09:12:12+00:00
33.02038;2015-05-31 09:12:20+00:00
33.02038;2015-05-31 09:12:28+00:00
33.02038;2015-05-31 09:12:36+00:00
33.02038;2015-05-31 09:12:44+00:00
33.02038;2015-05-31 09:12:52+00:00
33.02038;2015-05-31 09:13:00+00:00
33.02038;2015-05-31 09:13:08+00:00
33.02038;2015-05-31 09:13:16+00:00
33.00165;2015-05-31 09:13:24+00:00
33.00165;2015-05-31 09:13:32+00:00
33.02038;2015-05-31 09:13:40+00:00
33.02038;2015-05-31 09:13:48+00:00
33.02038;2015-05-31 09:13:56+00:00
32.98292;2015-05-31 09:14:04+00:00
32.98292;2015-05-31 09:14:12+00:00
33.00165;2015-05-31 09:14:20+00:00
33.02038;2015-05-31 09:14:28+00:00
33.02038;2015-05-31 09:14:36+00:00
33.00165;2015-05-31 09:14:44+00:00
33.02038;2015-05-31 09:14:52+00:00
33.02038;2015-05-31 09:15:00+00:00
33.02038;2015-05-31 09:15:08+00:00
33.00165;2015-05-31 09:15:16+00:00
33.00165;2015-05-31 09:15:24+00:00
33.02038;2015-05-31 09:15:32+00:00
33.00165;2015-05-31 09:15:40+00:00
33.02038;2015-05-31 09:15:48+00:00
33.02038;2015-05-31 09:15:56+00:00
33.02038;2015-05-31 09:16:04+00:00
33.02038;2015-05-31 09:16:12+00:00
33.02038;2015-05-31 09:16:20+00:00
33.02038;2015-05-31 09:16:28+00:00
33.02038;2015-05-31 09:16:36+00:00
33.02038;2015-05-31 09:16:44+00:00
32.98292;2015-05-31 09:16:52+00:00
32.98292;2015-05-31 09:17:00+00:00
33.02038;2015-05-31 09:17:08+00:00
33.02038;2015-05-31 09:17:16+00:00
33.00165;2015-05-31 09:17:24+00:00
33.00165;2015-05-31 09:17:32+00:00
33.00165;2015-05-31 09:17:40+00:00
32.98292;2015-05-31 09:17:48+00:00
32.98292;2015-05-31 09:17:56+00:00
32.98292;2015-05-31 09:18:04+00:00
33.00165;2015-05-31 09:18:12+00:00
33.02038;2015-05-31 09:18:20+00:00
33.00165;2015-05-31 09:18:28+00:00
33.00165;2015-05-31 09:18:36+00:00
33.00165;2015-05-31 09:18:44+00:00
33.00165;2015-05-31 09:18:52+00:00
32.98292;2015-05-31 09:19:00+00:00
32.98292;2015-05-31 09:19:08+00:00
32.98292;2015-05-31 09:19:16+00:00
32.98292;2015-05-31 09:19:24+00:00
33.00165;2015-05-31 09:19:32+00:00
33.00165;2015-05-31 09:19:40+00:00
33.00165;2015-05-31 09:19:48+00:00
33.00165;2015-05-31 09:19:56+00:00
32.98292;2015-05-31 09:20:04+00:00
32.98292;2015-05-31 09:20:12+00:00
32.98292;2015-05-31 09:20:20+00:00
33.00165;2015-05-31 09:20:28+00:00
33.00165;2015-05-31 09:20:36+00:00
33.00165;2015-05-31 09:20:44+00:00
33.00165;2015-05-31 09:20:52+00:00
33.00165;2015-05-31 09:21:00+00:00
33.00165;2015-05-31 09:21:08+00:00
33.02038;2015-05-31 09:21:16+00:00
33.02038;2015-05-31 09:21:24+00:00
33.02038;2015-05-31 09:21:32+00:00
33.00165;2015-05-31 09:21:40+00:00
33.02038;2015-05-31 09:21:48+00:00
33.02038;2015-05-31 09:21:56+00:00
33.00165;2015-05-31 09:22:04+00:00
33.00165;2015-05-31 09:22:12+00:00
33.00165;2015-05-31 09:22:20+00:00
33.02038;2015-05-31 09:22:28+00:00
33.02038;2015-05-31 09:22:36+00:00
33.02038;2015-05-31 09:22:44+00:00
33.02038;2015-05-31 09:22:52+00:00
33.00165;2015-05-31 09:23:00+00:00
33.00165;2015-05-31 09:23:08+00:00
33.00165;2015-05-31 09:23:16+00:00
33.02038;2015-05-31 09:23:24+00:00
33.00165;2015-05-31 09:23:32+00:00
33.00165;2015-05-31 09:23:40+00:00
33.00165;2015-05-31 09:23:48+00:00
32.98292;2015-05-31 09:23:56+00:00
32.98292;2015-05-31 09:24:04+00:00
32.98292;2015-05-31 09:24:12+00:00
32.98292;2015-05-31 09:24:20+00:00
33.00165;2015-05-31 09:24:28+00:00
33.00165;2015-05-31 09:24:36+00:00
33.00165;2015-05-31 09:24:44+00:00
32.98292;2015-05-31 09:24:52+00:00
32.98292;2015-05-31 09:25:00+00:00
32.98292;2015-05-31 09:25:08+00:00
33.00165;2015-05-31 09:25:16+00:00
33.02038;2015-05-31 09:25:24+00:00
32.98292;2015-05-31 09:25:32+00:00
32.98292;2015-05-31 09:25:40+00:00
32.98292;2015-05-31 09:25:48+00:00
32.98292;2015-05-31 09:25:56+00:00
33.00165;2015-05-31 09:26:04+00:00
33.02038;2015-05-31 09:26:12+00:00
33.00165;2015-05-31 09:26:20+00:00
32.98292;2015-05-31 09:26:28+00:00
32.96419;2015-05-31 09:26:36+00:00
32.94546;2015-05-31 09:26:44+00:00
32.87053;2015-05-31 09:26:52+00:00
32.62703;2015-05-31 09:27:00+00:00
32.49591;2015-05-31 09:27:08+00:00
32.40225;2015-05-31 09:27:16+00:00
32.38352;2015-05-31 09:27:24+00:00
32.36479;2015-05-31 09:27:32+00:00
32.36479;2015-05-31 09:27:40+00:00
32.42098;2015-05-31 09:27:48+00:00
32.40225;2015-05-31 09:27:56+00:00
32.38352;2015-05-31 09:28:04+00:00
32.34606;2015-05-31 09:28:12+00:00
32.32733;2015-05-31 09:28:20+00:00
32.3086;2015-05-31 09:28:28+00:00
32.3086;2015-05-31 09:28:36+00:00
32.32733;2015-05-31 09:28:44+00:00
32.32733;2015-05-31 09:28:52+00:00
32.3086;2015-05-31 09:29:00+00:00
32.27113;2015-05-31 09:29:08+00:00
32.2524;2015-05-31 09:29:16+00:00
32.2524;2015-05-31 09:29:24+00:00
32.27113;2015-05-31 09:29:32+00:00
32.27113;2015-05-31 09:29:40+00:00
32.2524;2015-05-31 09:29:48+00:00
32.21494;2015-05-31 09:29:56+00:00
32.21494;2015-05-31 09:30:04+00:00
32.15874;2015-05-31 09:30:12+00:00
32.15874;2015-05-31 09:30:20+00:00
32.15874;2015-05-31 09:30:28+00:00
32.17748;2015-05-31 09:30:36+00:00
32.17748;2015-05-31 09:30:44+00:00
32.15874;2015-05-31 09:30:52+00:00
32.12128;2015-05-31 09:31:00+00:00
32.10255;2015-05-31 09:31:08+00:00
32.10255;2015-05-31 09:31:16+00:00
32.10255;2015-05-31 09:31:24+00:00
32.10255;2015-05-31 09:31:32+00:00
32.12128;2015-05-31 09:31:40+00:00
32.12128;2015-05-31 09:31:48+00:00
32.12128;2015-05-31 09:31:56+00:00
32.06509;2015-05-31 09:32:04+00:00
32.06509;2015-05-31 09:32:12+00:00
32.06509;2015-05-31 09:32:20+00:00
32.06509;2015-05-31 09:32:28+00:00
32.08382;2015-05-31 09:32:36+00:00
32.08382;2015-05-31 09:32:44+00:00
32.04636;2015-05-31 09:32:52+00:00
32.02763;2015-05-31 09:33:00+00:00
32.02763;2015-05-31 09:33:08+00:00
32.06509;2015-05-31 09:33:16+00:00
32.04636;2015-05-31 09:33:24+00:00
32.04636;2015-05-31 09:33:32+00:00
32.00889;2015-05-31 09:33:40+00:00
31.99016;2015-05-31 09:33:48+00:00
31.99016;2015-05-31 09:33:56+00:00
32.02763;2015-05-31 09:34:04+00:00
32.02763;2015-05-31 09:34:12+00:00
32.00889;2015-05-31 09:34:20+00:00
31.97143;2015-05-31 09:34:28+00:00
31.97143;2015-05-31 09:34:36+00:00
31.9527;2015-05-31 09:34:44+00:00
31.9527;2015-05-31 09:34:52+00:00
31.99016;2015-05-31 09:35:00+00:00
31.97143;2015-05-31 09:35:08+00:00
31.97143;2015-05-31 09:35:16+00:00
31.93397;2015-05-31 09:35:24+00:00
31.93397;2015-05-31 09:35:32+00:00
31.9527;2015-05-31 09:35:40+00:00
31.9527;2015-05-31 09:35:48+00:00
31.9527;2015-05-31 09:35:56+00:00
31.91524;2015-05-31 09:36:04+00:00
31.91524;2015-05-31 09:36:12+00:00
31.89651;2015-05-31 09:36:20+00:00
31.89651;2015-05-31 09:36:28+00:00
31.9527;2015-05-31 09:36:36+00:00
31.97143;2015-05-31 09:36:44+00:00
31.97143;2015-05-31 09:36:52+00:00
31.97143;2015-05-31 09:37:00+00:00
31.93397;2015-05-31 09:37:08+00:00
31.91524;2015-05-31 09:37:16+00:00
31.91524;2015-05-31 09:37:24+00:00
31.91524;2015-05-31 09:37:32+00:00
31.9527;2015-05-31 09:37:40+00:00
31.9527;2015-05-31 09:37:48+00:00
31.93397;2015-05-31 09:37:56+00:00
31.89651;2015-05-31 09:38:04+00:00
31.89651;2015-05-31 09:38:12+00:00
31.89651;2015-05-31 09:38:20+00:00
31.93397;2015-05-31 09:38:28+00:00
31.93397;2015-05-31 09:38:36+00:00
31.93397;2015-05-31 09:38:44+00:00
31.89651;2015-05-31 09:38:52+00:00
31.87778;2015-05-31 09:39:00+00:00
31.84031;2015-05-31 09:39:08+00:00
31.84031;2015-05-31 09:39:16+00:00
31.87778;2015-05-31 09:39:24+00:00
31.85904;2015-05-31 09:39:32+00:00
31.84031;2015-05-31 09:39:40+00:00
31.82158;2015-05-31 09:39:48+00:00
31.85904;2015-05-31 09:39:56+00:00
31.84031;2015-05-31 09:40:04+00:00
31.82158;2015-05-31 09:40:12+00:00
31.80285;2015-05-31 09:40:20+00:00
31.82158;2015-05-31 09:40:28+00:00
31.80285;2015-05-31 09:40:36+00:00
31.80285;2015-05-31 09:40:44+00:00
31.84031;2015-05-31 09:40:52+00:00
31.84031;2015-05-31 09:41:00+00:00
31.84031;2015-05-31 09:41:08+00:00
31.78412;2015-05-31 09:41:16+00:00
31.78412;2015-05-31 09:41:24+00:00
31.78412;2015-05-31 09:41:32+00:00
31.78412;2015-05-31 09:41:40+00:00
31.82158;2015-05-31 09:41:48+00:00
31.80285;2015-05-31 09:41:56+00:00
31.78412;2015-05-31 09:42:04+00:00
31.80285;2015-05-31 09:42:12+00:00
31.80285;2015-05-31 09:42:20+00:00
31.76539;2015-05-31 09:42:28+00:00
31.76539;2015-05-31 09:42:36+00:00
31.76539;2015-05-31 09:42:44+00:00
31.74666;2015-05-31 09:42:52+00:00
31.74666;2015-05-31 09:43:00+00:00
31.78412;2015-05-31 09:43:08+00:00
31.78412;2015-05-31 09:43:16+00:00
31.78412;2015-05-31 09:43:24+00:00
31.74666;2015-05-31 09:43:32+00:00
31.72793;2015-05-31 09:43:40+00:00
31.72793;2015-05-31 09:43:48+00:00
31.76539;2015-05-31 09:43:56+00:00
31.76539;2015-05-31 09:44:04+00:00
31.74666;2015-05-31 09:44:12+00:00
31.76539;2015-05-31 09:44:20+00:00
31.91524;2015-05-31 09:44:28+00:00
32.23367;2015-05-31 09:44:36+00:00
32.64576;2015-05-31 09:44:44+00:00
32.98292;2015-05-31 09:44:52+00:00
33.1515;2015-05-31 09:45:00+00:00
33.18897;2015-05-31 09:45:08+00:00
33.1515;2015-05-31 09:45:16+00:00
33.13277;2015-05-31 09:45:24+00:00
33.09531;2015-05-31 09:45:32+00:00
33.05785;2015-05-31 09:45:40+00:00
33.03912;2015-05-31 09:45:48+00:00
33.03912;2015-05-31 09:45:56+00:00
33.03912;2015-05-31 09:46:04+00:00
33.03912;2015-05-31 09:46:12+00:00
33.03912;2015-05-31 09:46:20+00:00
33.03912;2015-05-31 09:46:28+00:00
33.03912;2015-05-31 09:46:36+00:00
33.03912;2015-05-31 09:46:44+00:00
33.03912;2015-05-31 09:46:52+00:00
33.03912;2015-05-31 09:47:00+00:00
33.03912;2015-05-31 09:47:08+00:00
33.03912;2015-05-31 09:47:16+00:00
33.03912;2015-05-31 09:47:24+00:00
33.03912;2015-05-31 09:47:32+00:00
33.03912;2015-05-31 09:47:40+00:00
33.03912;2015-05-31 09:47:48+00:00
33.03912;2015-05-31 09:47:56+00:00
33.02038;2015-05-31 09:48:04+00:00
33.02038;2015-05-31 09:48:12+00:00
33.03912;2015-05-31 09:48:20+00:00
33.02038;2015-05-31 09:48:28+00:00
33.03912;2015-05-31 09:48:36+00:00
33.03912;2015-05-31 09:48:44+00:00
33.03912;2015-05-31 09:48:52+00:00
33.03912;2015-05-31 09:49:00+00:00
33.03912;2015-05-31 09:49:08+00:00
33.03912;2015-05-31 09:49:16+00:00
33.03912;2015-05-31 09:49:24+00:00
33.03912;2015-05-31 09:49:32+00:00
33.03912;2015-05-31 09:49:40+00:00
33.03912;2015-05-31 09:49:48+00:00
33.03912;2015-05-31 09:49:56+00:00
33.03912;2015-05-31 09:50:04+00:00
33.03912;2015-05-31 09:50:12+00:00
33.03912;2015-05-31 09:50:20+00:00
33.03912;2015-05-31 09:50:28+00:00
33.03912;2015-05-31 09:50:36+00:00
33.03912;2015-05-31 09:50:44+00:00
33.03912;2015-05-31 09:50:52+00:00
33.03912;2015-05-31 09:51:00+00:00
33.03912;2015-05-31 09:51:08+00:00
33.05785;2015-05-31 09:51:16+00:00
33.03912;2015-05-31 09:51:24+00:00
33.03912;2015-05-31 09:51:32+00:00
33.03912;2015-05-31 09:51:40+00:00
33.03912;2015-05-31 09:51:48+00:00
33.03912;2015-05-31 09:51:56+00:00
33.03912;2015-05-31 09:52:04+00:00
33.03912;2015-05-31 09:52:12+00:00
33.05785;2015-05-31 09:52:20+00:00
33.03912;2015-05-31 09:52:28+00:00
33.03912;2015-05-31 09:52:36+00:00
33.03912;2015-05-31 09:52:44+00:00
33.03912;2015-05-31 09:52:52+00:00
33.02038;2015-05-31 09:53:00+00:00
33.03912;2015-05-31 09:53:08+00:00
33.03912;2015-05-31 09:53:16+00:00
33.03912;2015-05-31 09:53:24+00:00
33.05785;2015-05-31 09:53:32+00:00
33.03912;2015-05-31 09:53:40+00:00
33.03912;2015-05-31 09:53:48+00:00
33.03912;2015-05-31 09:53:56+00:00
33.02038;2015-05-31 09:54:04+00:00
33.03912;2015-05-31 09:54:12+00:00
33.03912;2015-05-31 09:54:20+00:00
33.03912;2015-05-31 09:54:28+00:00
33.03912;2015-05-31 09:54:36+00:00
33.02038;2015-05-31 09:54:44+00:00
33.02038;2015-05-31 09:54:52+00:00
33.02038;2015-05-31 09:55:00+00:00
33.02038;2015-05-31 09:55:08+00:00
33.02038;2015-05-31 09:55:16+00:00
33.03912;2015-05-31 09:55:24+00:00
33.03912;2015-05-31 09:55:32+00:00
33.03912;2015-05-31 09:55:40+00:00
33.03912;2015-05-31 09:55:48+00:00
33.02038;2015-05-31 09:55:56+00:00
33.03912;2015-05-31 09:56:04+00:00
33.03912;2015-05-31 09:56:12+00:00
33.03912;2015-05-31 09:56:20+00:00
33.02038;2015-05-31 09:56:28+00:00
33.03912;2015-05-31 09:56:36+00:00
33.03912;2015-05-31 09:56:44+00:00
33.03912;2015-05-31 09:56:52+00:00
33.03912;2015-05-31 09:57:00+00:00
33.03912;2015-05-31 09:57:08+00:00
33.03912;2015-05-31 09:57:16+00:00
33.03912;2015-05-31 09:57:24+00:00
33.03912;2015-05-31 09:57:32+00:00
33.03912;2015-05-31 09:57:40+00:00
33.03912;2015-05-31 09:57:48+00:00
33.03912;2015-05-31 09:57:56+00:00
33.03912;2015-05-31 09:58:04+00:00
33.02038;2015-05-31 09:58:12+00:00
33.02038;2015-05-31 09:58:20+00:00
33.02038;2015-05-31 09:58:28+00:00
33.02038;2015-05-31 09:58:36+00:00
33.03912;2015-05-31 09:58:44+00:00
33.03912;2015-05-31 09:58:52+00:00
33.03912;2015-05-31 09:59:00+00:00
33.03912;2015-05-31 09:59:08+00:00
33.03912;2015-05-31 09:59:16+00:00
33.03912;2015-05-31 09:59:24+00:00
33.03912;2015-05-31 09:59:32+00:00
33.03912;2015-05-31 09:59:40+00:00
33.03912;2015-05-31 09:59:48+00:00
33.03912;2015-05-31 09:59:56+00:00
33.03912;2015-05-31 10:00:04+00:00
33.03912;2015-05-31 10:00:12+00:00
33.03912;2015-05-31 10:00:20+00:00
33.03912;2015-05-31 10:00:28+00:00
33.02038;2015-05-31 10:00:36+00:00
33.02038;2015-05-31 10:00:44+00:00
33.03912;2015-05-31 10:00:52+00:00
33.02038;2015-05-31 10:01:00+00:00
33.02038;2015-05-31 10:01:08+00:00
33.03912;2015-05-31 10:01:16+00:00
33.03912;2015-05-31 10:01:24+00:00
33.02038;2015-05-31 10:01:32+00:00
33.02038;2015-05-31 10:01:40+00:00
33.02038;2015-05-31 10:01:48+00:00
33.02038;2015-05-31 10:01:56+00:00
33.02038;2015-05-31 10:02:04+00:00
33.02038;2015-05-31 10:02:12+00:00
33.02038;2015-05-31 10:02:20+00:00
33.02038;2015-05-31 10:02:28+00:00
33.03912;2015-05-31 10:02:36+00:00
33.02038;2015-05-31 10:02:44+00:00
33.03912;2015-05-31 10:02:52+00:00
33.02038;2015-05-31 10:03:00+00:00
33.02038;2015-05-31 10:03:08+00:00
33.02038;2015-05-31 10:03:16+00:00
33.02038;2015-05-31 10:03:24+00:00
33.02038;2015-05-31 10:03:32+00:00
33.02038;2015-05-31 10:03:40+00:00
33.02038;2015-05-31 10:03:48+00:00
33.02038;2015-05-31 10:03:56+00:00
33.02038;2015-05-31 10:04:04+00:00
33.02038;2015-05-31 10:04:12+00:00
33.03912;2015-05-31 10:04:20+00:00
33.02038;2015-05-31 10:04:28+00:00
33.03912;2015-05-31 10:04:36+00:00
33.03912;2015-05-31 10:04:44+00:00
33.02038;2015-05-31 10:04:52+00:00
33.02038;2015-05-31 10:05:00+00:00
33.02038;2015-05-31 10:05:08+00:00
33.02038;2015-05-31 10:05:16+00:00
33.02038;2015-05-31 10:05:24+00:00
33.03912;2015-05-31 10:05:32+00:00
33.03912;2015-05-31 10:05:40+00:00
33.03912;2015-05-31 10:05:48+00:00
33.03912;2015-05-31 10:05:56+00:00
33.03912;2015-05-31 10:06:04+00:00
33.03912;2015-05-31 10:06:12+00:00
33.03912;2015-05-31 10:06:20+00:00
33.03912;2015-05-31 10:06:28+00:00
33.03912;2015-05-31 10:06:36+00:00
33.03912;2015-05-31 10:06:44+00:00
33.03912;2015-05-31 10:06:52+00:00
33.03912;2015-05-31 10:07:00+00:00
33.05785;2015-05-31 10:07:08+00:00
33.03912;2015-05-31 10:07:16+00:00
33.03912;2015-05-31 10:07:24+00:00
33.03912;2015-05-31 10:07:32+00:00
33.03912;2015-05-31 10:07:40+00:00
